Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Miguel Castro","HOU",0.717939,0.563346,0,4.43024,18.929,0,1,0.653,,19.7258,84.4716,17.4555,10.38,9.71,2.35273,8.11199,0.35434,1.34632,17.4722,7.97179,3.70114,2.15388,1.07344,0.206841,0.0960321,0.11080918461084366,0.232698,1.29614,0.273658,0.681858,,,4.38397,0.0296593,0.0427517,999,,,,,,,95.2,4.76,90,4.5,,,,,,,,,,,,,,,,,,,"Miguel Castro","15684",612434
"Mick Abel","PHI",0.565402,0.418314,0,4.35949,13.786,0,0,0,,14.988,65.5773,12.9105,7.77,7.26,1.79199,7.78854,0.421476,0.975547,15.346,9.21499,4.67687,1.97033,1.07605,0.234014,0.118769,0.11524548381567001,0.227246,1.38104,0.28024,0.710768,,,4.42722,0.0296329,-0.0193904,999,,,,,,,55.60000000000001,3.7066666666666674,52,3.466666666666667,,,,,,,,,,,,,,,,,,,"Mick Abel","sa3014534",690953
"Nick Anderson","STL",0.950763,0.881242,0,4.77097,24.201,0,0,0.6466,,25.5231,110.277,25.4913,14.48,13.53,3.89639,8.38283,0.478282,1.14818,22.1215,7.80053,2.95597,2.63891,1.37395,0.2006,0.0760163,0.12458376586437225,0.253026,1.3272,0.288981,0.682431,,,4.53791,0.0295362,-0.0472828,750.530029296875,,,,,,,99.19999999999999,3.815384615384615,99,3.8076923076923075,,,,,,,,,,,,,,,,,,,"Nick Anderson","18337",623433
"Mike Baumann",,0.766017,0.877281,0,4.42714,21.633,0.269,0,0,,25.1065,110.148,23.7187,13.29,12.35,2.91579,11.7754,0.592985,1.3623,23.0193,8.25178,4.22115,1.95486,1.04523,0.208985,0.106905,0.1020798459649086,0.244496,1.41374,0.292688,0.706867,,,4.41236,0.0279596,0.00193676,999,,,,,,,92.69999999999999,3.7079999999999997,93,3.72,,,,,,,,,,,,,,,,,,,"Mike Baumann","20206",657508
"Luis Patiño","SDP",0.416121,0.456009,0,4.32267,10.045,0.413,0,0.6158,,12.1175,52.1858,10.7325,6.23,5.82,1.51272,5.16551,0.332938,0.605766,10.0578,7.47019,3.83657,1.9471,1.12354,0.19273,0.0989831,0.0937471017241478,0.231231,1.31199,0.264601,0.701587,,,4.55816,0.0279584,0.0256514,999,,,,,,,41.600000000000016,3.466666666666668,40,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Luis Patino","22815",672715
"Brent Suter","CIN",2.22265,1.91326,0,4.47494,50.567,0.477,0,10.2775,,58.2846,249.685,57.4364,31.08,28.98,8.18886,19.2425,0.86131,2.49806,46.5342,7.18556,2.97133,2.4183,1.26448,0.186372,0.0770672,0.10930454730987549,0.251976,1.3156,0.284305,0.699214,,,4.51518,0.0277854,-0.0817698,999,,,,,,,253.60000000000008,4.3724137931034495,257,4.431034482758621,,,,,,,,,,,,,,,,,,,"Brent Suter","13942",608718
"Yerry Rodríguez",,0.242237,0.1938,0,4.47136,6.685,0,0,0,,7.9506,34.7727,7.53193,4.23,3.95,0.886257,3.47108,0.210267,0.471297,7.3751,8.34854,3.92923,2.12473,1.00323,0.212095,0.099822,0.11227256804704666,0.244303,1.38392,0.294461,0.693796,,,4.24794,0.0274792,0.0171008,999,,,,,,,31.100000000000005,3.8875000000000006,32,4,,,,,,,,,,,,,,,,,,,"Yerry Rodriguez","21955",666720
"Austin Davis","SDP",0.340692,0.308114,0,4.33404,8.709,0.121,0,0,,9.3654,40.992,8.08153,4.82,4.51,1.091,4.83635,0.307615,0.620279,9.93236,9.54484,4.64765,2.05369,1.04843,0.2423,0.117983,0.12431702017784119,0.227422,1.37932,0.285188,0.710934,,,4.30772,0.0274344,-0.0321402,999,,,,,,,35.500000000000014,3.944444444444446,34,3.7777777777777777,,,,,,,,,,,,,,,,,,,"Austin Davis","17117",656354
"José Ruiz","PHI",2.07922,1.65771,0,4.66968,52.118,0,0,11.4571,,54.8325,238.018,52.1876,30.55,28.45,7.93569,22.1808,1.00992,2.89548,52.2033,8.56846,3.64067,2.35354,1.30253,0.219325,0.0931896,0.12613558769226074,0.245079,1.35628,0.289602,0.692689,,,4.51579,0.0269703,-0.241739,999,,,,,,,246.40000000000003,4.48,244,4.4363636363636365,,,,,,,,,,,,,,,,,,,"Jose Ruiz","14552",614179
"Ryan Miller","DET",0.69841,0.590646,0,4.54075,16.232,0,0,0,,19.7214,84.3694,18.5912,10.7,9.95,3.01022,6.49043,0.445233,1.11843,17.9539,8.19341,2.96195,2.76622,1.37374,0.212802,0.0769287,0.13587283343076706,0.242197,1.2718,0.279247,0.689194,,,4.48746,0.0263231,-0.0599294,999,,,,,,,76.69999999999999,3.8349999999999995,76,3.8,,,,,,,,,,,,,,,,,,,"Ryan Miller","22187",668943
