Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Davis Martin","CHW",6.751,9.9838,10.275,4.48542,24.3,24.3,0,0,136.926,591.475,137.226,73.3052,68.2415,20.326,49.555,,6.5713,116.576,7.6624,3.25719,2.35246,1.336,0.197094,0.0837821,0.11331197619438171,0.256329,1.36409,0.293389,0.716728,0.41617,,4.6232,1.29878,1.21816,735.6699829101562,,,,"21448"
"Tobias Myers","MIL",8.1592,9.5172,10.7273,4.4473,25.92,25.92,0,0,143.956,619.431,144.085,76.1612,71.1349,23.1289,44.8839,,5.8666,128.106,8.00911,2.80611,2.85417,1.446,0.206813,0.0724599,0.13435295969247818,0.253367,1.31269,0.289753,0.720409,0.381284,,4.53297,1.29499,1.37767,296.2200012207031,,,,"22191"
"Antonio Senzatela","COL",6.5796,10.3221,7.2891,5.11945,37.68,22.68,0,0.5438,139.334,610.587,165.911,85.0527,79.2571,20.8382,38.0759,,5.9593,89.7097,5.79461,2.45943,2.35608,1.346,0.146924,0.0623595,0.0845642015337944,0.292843,1.46401,0.318139,0.680349,0.47133,,4.77113,1.27427,1.07444,999,,,,"15488"
"Cade Povich","BAL",8.8066,8.7094,9.7432,4.11459,44.68,22.68,0,0.6422,146.604,627.251,138.904,72.2014,67.0239,20.0522,54.5014,,5.57,133.6,8.2017,3.34584,2.45131,1.231,0.212993,0.0868893,0.1261037513613701,0.244902,1.31923,0.287409,0.733092,0.391783,,4.35125,1.27228,1.39971,411.55999755859375,,,,"30055"
"Steven Matz","STL",6.8655,6.8003,7.0634,3.92565,44.2,16.2,0,0.6333,116.122,487.945,112.831,54.8759,50.6505,14.541,32.8788,,4.6428,103.347,8.00986,2.54826,3.14326,1.127,0.2118,0.0673822,0.14441772550344467,0.250501,1.2548,0.295578,0.724629,0.4377,,3.98377,1.26918,1.37189,646.5599975585938,,,,"13361"
"Cade Cavalli","WSN",7.215,8.7973,9.4669,4.26804,36.06,21.06,0,0.6044,134.863,578.549,128.247,68.7865,63.9557,18.2065,50.5339,,7.631,125.25,8.35849,3.37234,2.47854,1.215,0.21649,0.0873459,0.12914445996284485,0.246447,1.32565,0.291941,0.717549,0.410589,,4.3579,1.26656,1.40922,558.219970703125,,,,"27473"
"Eury Pérez","MIA",4.7651,5.1469,6.7759,3.94747,14.58,14.58,0,0,80.6072,338.828,71.5836,37.8003,35.3549,11.1775,26.5011,,3.1721,89.884,10.0358,2.95892,3.39171,1.248,0.265279,0.078214,0.18706512451171875,0.231546,1.21682,0.290284,0.731286,0.345659,,3.84334,1.25963,1.36463,491,,,,"27768"
"Spencer Arrighetti","HOU",8.4973,9.0026,10.4048,4.40825,25.92,25.92,0,0,141.287,609.258,129.914,74.0161,69.2031,20.518,61.0787,,7.1021,144.524,9.2062,3.89072,2.36619,1.307,0.237213,0.100251,0.13696200400590897,0.240102,1.35181,0.290919,0.720887,0.378156,,4.45626,1.22632,1.181,213.88999938964844,,,,"29921"
"Mitch Spence","ATH",7.6769,9.0419,11.1131,4.2035,24.3,24.3,0,0,137.447,586.878,140.77,69.6941,64.1953,16.738,42.4436,,5.914,103.657,6.78747,2.7792,2.44224,1.096,0.176625,0.072321,0.10430413484573364,0.261402,1.33298,0.296639,0.710472,0.46313,,4.29675,1.21623,1.23201,589.6699829101562,,,,"27707"
"Félix Bautista","BAL",3.793,2.4751,0,2.69999,64,0,29.781,1.4227,64,259.004,43.9103,20.9675,19.1999,5.78844,24.0771,,2.3963,93.0435,13.0842,3.38584,3.8644,0.814,0.359236,0.0929603,0.26627545058727264,0.188837,1.0623,0.285133,0.785189,0.387775,,2.67559,1.1824,1.1888,57.11000061035156,,,,"20666"
"Joey Cantillo","CLE",8.1198,8.3394,9.2506,4.05462,43.06,21.06,0,0.6606,138.269,595.765,126.443,67.3667,62.2919,17.299,61.15,,5.5442,138.11,8.98966,3.98029,2.25854,1.126,0.231819,0.102641,0.1291782632470131,0.23899,1.35672,0.292092,0.735894,0.420556,,4.24228,1.17027,1.35673,423.8900146484375,,,,"23335"
