Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Freddy Pacheco","DET",0.0493,0.0722,0.0698,4.80834,0.1754,0.1754,0,0,1,4.396,1.0182,0.5703,0.53426,0.152889,0.3965,,0.0464,0.806,7.254,3.5685,2.03279,1.376,0.183349,0.0901956,0.09315287321805954,0.25757,1.4147,0.288995,0.703282,0.368769,,4.87074,-0.0000999029,-0.000679999,999,,,,"sa3006164"
"Austin Warner",,0.0501,0.0646,0.0492,4.71375,0.4113,0.1253,0,0,1,4.385,1.0682,0.5624,0.52375,0.147,0.3577,,0.0485,0.7126,6.4134,3.2193,1.99217,1.323,0.162509,0.0815735,0.08093500882387161,0.268473,1.4259,0.295332,0.707729,0.415003,,4.87088,-0.0000999029,-0.000679999,999,,,,"sa3004494"
"Alex Williams","MIA",0.046,0.0686,0.046,4.84326,0.4212,0.1232,0,0,1,4.382,1.0503,0.5754,0.53814,0.152778,0.3678,,0.0491,0.7638,6.8742,3.3102,2.07667,1.375,0.174304,0.0839343,0.09036970138549805,0.264886,1.4181,0.294412,0.699794,0.397909,,4.87569,-0.0000999029,-0.000679999,999,,,,"sa3020314"
"Victor Santos","STL",0.0491,0.0634,0.0409,4.74966,0.4929,0.1079,0,0,1,4.36,1.0734,0.5662,0.52774,0.150222,0.3346,,0.0428,0.6872,6.1848,3.0114,2.0538,1.352,0.157615,0.0767431,0.08087155967950821,0.269522,1.408,0.293522,0.702854,0.413662,,4.87717,-0.0000999029,-0.000679999,999,,,,"sa3003083"
"Eric Lauer",,0.0521,0.0665,0.0625,4.69044,0.2694,0.1554,0,0,1,4.339,1.0179,0.5553,0.52116,0.164333,0.3753,,0.0358,0.8257,7.4313,3.3777,2.20011,1.479,0.190297,0.0864946,0.10380271077156067,0.259146,1.3932,0.29054,0.720382,0.357974,,4.88471,-0.0000999029,-0.000679999,999,,,,"19316"
"Adam Wainwright",,0.0509,0.0705,0.0678,4.91418,0.1754,0.1754,0,0,1,4.394,1.1457,0.5863,0.54602,0.151222,0.2912,,0.0383,0.6154,5.5386,2.6208,2.11332,1.361,0.140055,0.0662722,0.07378243654966354,0.28188,1.4369,0.301551,0.69426,0.427262,,4.89007,-0.0000999029,-0.000679999,999,,,,"2233"
"Jake Garland","ATH",0.0489,0.0696,0.0619,4.70214,0.2777,0.1537,0,0,1,4.407,1.1228,0.5684,0.52246,0.117111,0.369,,0.0483,0.5223,4.7007,3.321,1.41545,1.054,0.118516,0.0837304,0.03478557616472244,0.281425,1.4918,0.30018,0.695413,0.513352,,4.89622,-0.0000999029,-0.000679999,999,,,,"sa3020077"
"Kade Morris","ATH",0.0502,0.0707,0.0701,4.69017,0.1952,0.1712,0,0,1,4.382,1.0731,0.5634,0.52113,0.130778,0.368,,0.055,0.6187,5.5683,3.312,1.68125,1.177,0.141191,0.0839799,0.05721132457256317,0.271053,1.4411,0.293602,0.697689,0.463123,,4.89819,-0.0000999029,-0.000679999,999,,,,"sa3023206"
"Cory Lewis","MIN",0.0512,0.0695,0.067,4.8474,0.1961,0.1711,0,0,1,4.403,1.0182,0.5757,0.5386,0.152444,0.4296,,0.037,0.8247,7.4223,3.8664,1.91969,1.372,0.187304,0.0975698,0.0897342711687088,0.258663,1.4478,0.292559,0.70651,0.391565,,4.89866,-0.0000999029,-0.000679999,999,,,,"sa3020702"
"Ronald Herrera",,0.0491,0.0724,0.0701,4.79169,0.1754,0.1754,0,0,1,4.331,1.0711,0.5703,0.53241,0.159333,0.3113,,0.0412,0.698,6.282,2.8017,2.24221,1.434,0.161164,0.0718772,0.08928655087947845,0.269222,1.3824,0.292124,0.700489,0.409587,,4.89931,-0.0000999029,-0.000679999,999,,,,"15688"
"Nick Bush",,0.0465,0.0751,0.0631,5.15736,0.1754,0.1754,0,0,1,4.39,1.1604,0.6125,0.57304,0.163556,0.2958,,0.0416,0.7026,6.3234,2.6622,2.37525,1.472,0.160046,0.0673804,0.09266515076160431,0.286335,1.4562,0.312839,0.687488,0.435173,,4.8997,-0.0000999029,-0.000679999,999,,,,"sa3007838"
"Kevin Smith",,0.05,0.0643,0.0482,4.70214,0.4245,0.1225,0,0,1,4.433,1.0285,0.5619,0.52246,0.137889,0.458,,0.0439,0.7821,7.0389,4.122,1.70764,1.241,0.176427,0.103316,0.07311075925827026,0.261632,1.4865,0.295775,0.714829,0.423992,,4.90054,-0.0000999029,-0.000679999,999,,,,"sa3007710"
"Yonny Chirinos",,0.0508,0.0706,0.0685,4.87818,0.1754,0.1754,0,0,1,4.382,1.1054,0.583,0.54202,0.148667,0.3295,,0.0478,0.6643,5.9787,2.9655,2.01609,1.338,0.151597,0.075194,0.07640348374843597,0.276026,1.4349,0.299754,0.694427,0.450994,,4.90245,-0.0000999029,-0.000679999,999,,,,"16401"
"Aaron Rozek","MIN",0.0504,0.0672,0.0575,4.78548,0.3074,0.1474,0,0,1,4.374,1.0986,0.5704,0.53172,0.150111,0.3135,,0.047,0.6484,5.8356,2.8215,2.06826,1.351,0.14824,0.0716735,0.07656607776880264,0.273726,1.4121,0.295021,0.700282,0.409997,,4.90262,-0.0000999029,-0.000679999,999,,,,"sa3015224"
"Cade Gibson","MIA",0.047,0.0716,0.0596,4.81545,0.281,0.153,0,0,1,4.466,1.1099,0.579,0.53505,0.122222,0.4144,,0.0597,0.6373,5.7357,3.7296,1.53789,1.1,0.1427,0.09279,0.04991043359041214,0.278038,1.5243,0.305558,0.698572,0.484841,,4.90307,-0.0000999029,-0.000679999,999,,,,"sa3019914"
"Pete Hansen","STL",0.0533,0.068,0.0723,4.67865,0.1754,0.1754,0,0,1,4.39,1.0646,0.5596,0.51985,0.142,0.3715,,0.049,0.685,6.165,3.3435,1.84388,1.278,0.156036,0.0846241,0.07141231000423431,0.268195,1.4361,0.293588,0.708397,0.424682,,4.90398,-0.0000999029,-0.000679999,999,,,,"sa3020798"
"Caleb Bolden","BOS",0.0479,0.0649,0.039,4.99392,0.4797,0.1107,0,0,1,4.472,1.0596,0.5963,0.55488,0.129556,0.4807,,0.0543,0.7748,6.9732,4.3263,1.61182,1.166,0.173256,0.107491,0.06576476991176605,0.269139,1.5403,0.306678,0.694668,0.46254,,4.9061,-0.0000999029,-0.000679999,999,,,,"sa3020463"
"Juan Mercedes","SFG",0.0494,0.0721,0.0692,4.84155,0.1754,0.1754,0,0,1,4.329,1.0805,0.5739,0.53795,0.169111,0.2527,,0.05,0.6829,6.1461,2.2743,2.70241,1.522,0.15775,0.0583738,0.09937629476189613,0.268361,1.3332,0.287116,0.692511,0.371225,,4.90722,-0.0000999029,-0.000679999,999,,,,"sa3002818"
"Trey Dombroski","HOU",0.0543,0.0652,0.0654,4.72716,0.2348,0.1628,0,0,1,4.346,1.0437,0.5626,0.52524,0.159222,0.3527,,0.0387,0.7514,6.7626,3.1743,2.13042,1.433,0.172895,0.0811551,0.09173952788114548,0.26392,1.3964,0.290566,0.710531,0.397266,,4.90777,-0.0000999029,-0.000679999,999,,,,"sa3020833"
"Jesus Vargas",,0.0498,0.0674,0.0565,4.73877,0.328,0.143,0,0,1,4.339,1.0567,0.5634,0.52653,0.164444,0.3047,,0.0458,0.7238,6.5142,2.7423,2.37545,1.48,0.166813,0.0702235,0.09658908098936081,0.264937,1.3614,0.287801,0.705459,0.393221,,4.90816,-0.0000999029,-0.000679999,999,,,,"sa877526"
"Chase Hampton","NYY",0.054,0.0672,0.0709,4.74948,0.1754,0.1754,0,0,1,4.344,1.0079,0.562,0.52772,0.177556,0.3501,,0.0388,0.8666,7.7994,3.1509,2.47529,1.598,0.199494,0.0805939,0.1188996285200119,0.254836,1.358,0.285249,0.717491,0.359158,,4.9082,-0.0000999029,-0.000679999,999,,,,"sa3020682"
"Matt Milburn",,0.0489,0.0673,0.0517,4.88187,0.3577,0.1367,0,0,1,4.386,1.1191,0.5835,0.54243,0.147111,0.3178,,0.0488,0.635,5.715,2.8602,1.99811,1.324,0.144779,0.0724578,0.07232102006673813,0.278425,1.4369,0.300248,0.693289,0.452013,,4.90872,-0.0000999029,-0.000679999,999,,,,"sa913084"
"Daniel Gossett",,0.0491,0.0694,0.0579,4.94487,0.2752,0.1542,0,0,1,4.424,1.0829,0.5893,0.54943,0.146,0.3936,,0.0421,0.7305,6.5745,3.5424,1.85595,1.314,0.165122,0.0889693,0.07615280151367188,0.271519,1.4765,0.30108,0.697429,0.431019,,4.91058,-0.0000999029,-0.000679999,999,,,,"16164"
"Christian MacLeod","MIN",0.0519,0.0691,0.0696,4.77045,0.1845,0.1735,0,0,1,4.44,1.0299,0.5692,0.53005,0.138667,0.4567,,0.0451,0.7812,7.0308,4.1103,1.71053,1.248,0.175946,0.10286,0.07308557629585266,0.261515,1.4866,0.295273,0.709806,0.414994,,4.91215,-0.0000999029,-0.000679999,999,,,,"sa3018005"
"Ryan Murphy","SFG",0.0487,0.0728,0.068,4.90059,0.1754,0.1754,0,0,1,4.405,1.0443,0.5817,0.54451,0.155222,0.3743,,0.0507,0.7716,6.9444,3.3687,2.06145,1.397,0.175165,0.0849716,0.09019295871257782,0.262387,1.4186,0.291197,0.696668,0.385365,,4.91617,-0.0000999029,-0.000679999,999,,,,"sa3014871"
"Mitch Bratt","TEX",0.0542,0.0664,0.07,4.67892,0.1985,0.1705,0,0,1,4.345,1.0317,0.5555,0.51988,0.164444,0.3426,,0.0424,0.7708,6.9372,3.0834,2.24985,1.48,0.177399,0.0788493,0.09855006635189056,0.26053,1.3743,0.286719,0.715686,0.372632,,4.91766,-0.0000999029,-0.000679999,999,,,,"sa3017719"
"Andrew Hoffmann","KCR",0.05,0.0671,0.0537,4.91652,0.323,0.144,0,0,1,4.403,1.0723,0.5853,0.54628,0.144222,0.3805,,0.0491,0.7055,6.3495,3.4245,1.85414,1.298,0.160232,0.0864184,0.0738133117556572,0.26987,1.4528,0.297111,0.693507,0.414241,,4.91917,-0.0000999029,-0.000679999,999,,,,"sa3017202"
"Zach Thompson","ATL",0.0536,0.0639,0.0546,4.96341,0.3065,0.1475,0,0,1,4.4,1.0991,0.5904,0.55149,0.156556,0.3419,,0.0437,0.7194,6.4746,3.0771,2.10412,1.409,0.1635,0.0777045,0.08579545468091965,0.273789,1.441,0.300322,0.696173,0.417968,,4.9197,-0.0000999029,-0.000679999,999,,,,"16094"
"Darius Vines","ATL",0.053,0.0614,0.0458,4.88529,0.417,0.124,0,0,1,4.352,1.0857,0.5797,0.54281,0.165556,0.3052,,0.0396,0.7167,6.4503,2.7468,2.3483,1.49,0.164683,0.0701287,0.09455422312021255,0.270937,1.3909,0.294451,0.69984,0.393011,,4.9197,-0.0000999029,-0.000679999,999,,,,"25928"
"Helcris Olivarez","SFG",0.0478,0.0664,0.0471,4.69035,0.4352,0.1202,0,0,1,4.573,0.9608,0.5634,0.52115,0.112,0.6505,,0.0593,0.9159,8.2431,5.8545,1.40799,1.008,0.200284,0.142248,0.05803629755973816,0.248706,1.6113,0.299369,0.720454,0.456145,,4.92008,-0.0000999029,-0.000679999,999,,,,"sa3002965"
"Chad Dallas","TOR",0.0524,0.0689,0.0697,4.81329,0.1754,0.1754,0,0,1,4.398,1.0601,0.5747,0.53481,0.148333,0.3695,,0.0509,0.7178,6.4602,3.3255,1.94263,1.335,0.163211,0.0840155,0.07919510453939438,0.266517,1.4296,0.293034,0.699629,0.427625,,4.92041,-0.0000999029,-0.000679999,999,,,,"sa3018180"
"Dakota Hawkins","NYM",0.0489,0.0663,0.0504,4.73112,0.3939,0.1289,0,0,1,4.38,1.0534,0.565,0.52568,0.151,0.3675,,0.0408,0.7164,6.4476,3.3075,1.94939,1.359,0.163562,0.0839041,0.07965753227472305,0.265226,1.4209,0.290694,0.707648,0.42551,,4.92158,-0.0000999029,-0.000679999,999,,,,"sa3023103"
"Connor Grey",,0.051,0.0701,0.0675,4.86414,0.1886,0.1726,0,0,1,4.375,1.0897,0.5803,0.54046,0.152444,0.3321,,0.0471,0.6816,6.1344,2.9889,2.05239,1.372,0.155794,0.0759086,0.07988570630550385,0.272711,1.4218,0.296435,0.696388,0.431996,,4.92266,-0.0000999029,-0.000679999,999,,,,"sa918420"
"Ty Johnson","TBR",0.0477,0.0702,0.0566,4.87188,0.3041,0.1481,0,0,1,4.437,1.0184,0.5797,0.54132,0.145222,0.4566,,0.0523,0.8288,7.4592,4.1094,1.81516,1.307,0.186793,0.102907,0.08388552069664001,0.25926,1.475,0.295584,0.704024,0.410131,,4.92347,-0.0000999029,-0.000679999,999,,,,"sa3023410"
"Carlos Pena","DET",0.049,0.0698,0.0622,4.70511,0.2719,0.1549,0,0,1,4.418,1.0572,0.5623,0.52279,0.139444,0.3917,,0.0484,0.6853,6.1677,3.5253,1.74955,1.255,0.155115,0.08866,0.0664554014801979,0.265768,1.4489,0.291059,0.707199,0.412284,,4.92896,-0.0000999029,-0.000679999,999,,,,"sa3009519"
"Nathan Wiles","TBR",0.0467,0.0677,0.0453,4.85865,0.4261,0.1221,0,0,1,4.332,1.0943,0.5766,0.53985,0.166556,0.2695,,0.0445,0.6722,6.0498,2.4255,2.49425,1.499,0.155171,0.0622115,0.09295937791466713,0.272349,1.3638,0.291813,0.696254,0.391181,,4.9293,-0.0000999029,-0.000679999,999,,,,"sa3010307"
"Trenton Wallace","TOR",0.0548,0.0664,0.0737,4.60764,0.1754,0.1754,0,0,1,4.401,0.988,0.5497,0.51196,0.148444,0.4363,,0.0521,0.8158,7.3422,3.9267,1.86981,1.336,0.185367,0.0991366,0.08623039722442627,0.252517,1.4243,0.284754,0.718961,0.393595,,4.92986,-0.0000999029,-0.000679999,999,,,,"sa3017748"
"Davis Feldman",,0.0489,0.0674,0.0517,4.90437,0.3552,0.1372,0,0,1,4.409,1.0707,0.5843,0.54493,0.149,0.3888,,0.0448,0.7363,6.6267,3.4992,1.89378,1.341,0.166999,0.0881833,0.07881606370210648,0.269331,1.4595,0.298275,0.699656,0.42501,,4.93168,-0.0000999029,-0.000679999,999,,,,"sa3021464"
"Christian McGowan","PHI",0.0532,0.067,0.066,4.81707,0.2134,0.1674,0,0,1,4.406,1.041,0.5759,0.53523,0.143667,0.4267,,0.05,0.765,6.885,3.8403,1.79283,1.293,0.173627,0.0968452,0.07678166031837463,0.264933,1.4677,0.297068,0.704108,0.451673,,4.93425,-0.0000999029,-0.000679999,999,,,,"sa3017896"
"Juan Hillman",,0.0499,0.0674,0.0558,4.80852,0.3255,0.1435,0,0,1,4.428,1.113,0.5766,0.53428,0.135556,0.3777,,0.045,0.6307,5.6763,3.3993,1.66984,1.22,0.142435,0.0852981,0.057136401534080505,0.277882,1.4907,0.301769,0.702655,0.462007,,4.9354,-0.0000999029,-0.000679999,999,,,,"sa874796"
"Duncan Davitt","TBR",0.0493,0.0722,0.0692,4.84218,0.1754,0.1754,0,0,1,4.374,1.0494,0.5759,0.53802,0.156444,0.3586,,0.05,0.7453,6.7077,3.2274,2.07836,1.408,0.170393,0.0819845,0.08840877562761307,0.264639,1.408,0.291467,0.699845,0.403152,,4.93546,-0.0000999029,-0.000679999,999,,,,"sa3020394"
"Ben Krauth",,0.0492,0.0646,0.0457,4.78107,0.4409,0.1189,0,0,1,4.402,1.0522,0.5687,0.53123,0.151,0.3918,,0.0445,0.7508,6.7572,3.5262,1.91628,1.359,0.170559,0.089005,0.08155384659767151,0.265325,1.444,0.294135,0.710125,0.395993,,4.93678,-0.0000999029,-0.000679999,999,,,,"sa918347"
"Adonys Perez","ARI",0.0524,0.0687,0.066,4.96872,0.1829,0.1739,0,0,1,4.496,1.119,0.5961,0.55208,0.120667,0.4483,,0.0533,0.6515,5.8635,4.0347,1.45327,1.086,0.144907,0.0997109,0.045195721089839935,0.280142,1.5673,0.309827,0.694525,0.481167,,4.93695,-0.0000999029,-0.000679999,999,,,,"sa3020114"
"Pedro Fernandez",,0.0494,0.0677,0.0544,4.89591,0.3239,0.1439,0,0,1,4.362,1.0717,0.5808,0.54399,0.163111,0.3307,,0.042,0.7329,6.5961,2.9763,2.21621,1.468,0.168019,0.0758139,0.09220541268587112,0.268644,1.4024,0.293729,0.699803,0.391018,,4.93922,-0.0000999029,-0.000679999,999,,,,"sa657697"
"Lewis Thorpe",,0.05,0.0698,0.0629,4.92561,0.229,0.164,0,0,1,4.414,1.0955,0.586,0.54729,0.149,0.3672,,0.0421,0.6954,6.2586,3.3048,1.89379,1.341,0.157544,0.0831898,0.07435433566570282,0.273554,1.4627,0.299497,0.699067,0.408554,,4.94058,-0.0000999029,-0.000679999,999,,,,"15906"
"Aaron Brown","HOU",0.0519,0.0671,0.0595,4.93623,0.2571,0.1581,0,0,1,4.352,1.0777,0.5862,0.54847,0.164667,0.327,,0.0374,0.7271,6.5439,2.943,2.22355,1.482,0.167073,0.0751379,0.09193474799394608,0.270263,1.4047,0.294923,0.69709,0.4069,,4.94615,-0.0000999029,-0.000679999,999,,,,"sa3017500"
"Masahiro Tanaka",,0.0492,0.0682,0.0545,4.90905,0.3173,0.1453,0,0,1,4.355,1.1127,0.5833,0.54545,0.164889,0.2877,,0.0388,0.671,6.039,2.5893,2.33229,1.484,0.154076,0.066062,0.08801377564668655,0.276207,1.4004,0.296876,0.698641,0.404989,,4.94754,-0.0000999029,-0.000679999,999,,,,"15764"
"Trevor Cahill",,0.0498,0.0709,0.0642,4.9608,0.2051,0.1691,0,0,1,4.407,1.0818,0.5915,0.5512,0.147889,0.3804,,0.0445,0.7064,6.3576,3.4236,1.85699,1.331,0.16029,0.0863172,0.07397321611642838,0.271666,1.4622,0.298583,0.693699,0.436991,,4.95094,-0.0000999029,-0.000679999,999,,,,"6249"
"Dominic Perachi","PIT",0.0488,0.0708,0.0634,4.79421,0.2439,0.1609,0,0,1,4.452,1.0626,0.5739,0.53269,0.131111,0.443,,0.0533,0.704,6.336,3.987,1.58916,1.18,0.158131,0.0995058,0.05862533301115036,0.268625,1.5056,0.298498,0.704742,0.441237,,4.95182,-0.0000999029,-0.000679999,999,,,,"sa3020841"
"Brandon Gold",,0.0497,0.0704,0.0629,4.92777,0.2249,0.1649,0,0,1,4.404,1.126,0.5899,0.54753,0.144,0.3396,,0.0439,0.6182,5.5638,3.0564,1.82038,1.296,0.140372,0.0771117,0.06326067447662354,0.280065,1.4656,0.301384,0.692801,0.465002,,4.95258,-0.0000999029,-0.000679999,999,,,,"sa872724"
"Joe Adametz","DET",0.049,0.0718,0.0691,4.72509,0.2002,0.1702,0,0,1,4.488,1.1158,0.5713,0.52501,0.112444,0.4334,,0.0522,0.5647,5.0823,3.9006,1.30295,1.012,0.125824,0.0965686,0.029255792498588562,0.278783,1.5492,0.301738,0.702627,0.506557,,4.95566,-0.0000999029,-0.000679999,999,,,,"sa3022323"
"Johnny Cueto",,0.0508,0.0706,0.0677,4.91643,0.1754,0.1754,0,0,1,4.352,1.1289,0.5839,0.54627,0.170111,0.2507,,0.0441,0.6533,5.8797,2.2563,2.6059,1.531,0.150115,0.0576057,0.0925091840326786,0.278246,1.3796,0.296491,0.697099,0.398002,,4.95572,-0.0000999029,-0.000679999,999,,,,"6893"
"Peter Van Loon","BAL",0.0538,0.0671,0.0686,4.80879,0.187,0.173,0,0,1,4.381,1.0267,0.5715,0.53431,0.158333,0.3802,,0.0571,0.7898,7.1082,3.4218,2.07733,1.425,0.180278,0.0867838,0.09349462389945984,0.260339,1.4069,0.289884,0.70484,0.396408,,4.95711,-0.0000999029,-0.000679999,999,,,,"sa3017543"
"Alemao Hernandez",,0.0491,0.07,0.064,4.70142,0.2562,0.1582,0,0,1,4.331,1.0918,0.561,0.52238,0.156556,0.2897,,0.0422,0.619,5.571,2.6073,2.13669,1.409,0.142923,0.0668899,0.07603324949741364,0.273011,1.3815,0.290129,0.705914,0.411575,,4.9594,-0.0000999029,-0.000679999,999,,,,"sa3002788"
"Trevor Martin","TBR",0.0488,0.0724,0.0671,4.89159,0.187,0.173,0,0,1,4.377,1.0419,0.5799,0.54351,0.161889,0.3639,,0.0489,0.7749,6.9741,3.2751,2.12943,1.457,0.177039,0.0831391,0.0938999280333519,0.262827,1.4058,0.290681,0.700417,0.382201,,4.95964,-0.0000999029,-0.000679999,999,,,,"sa3020608"
"Spenser Watkins",,0.0506,0.0708,0.068,4.90014,0.1754,0.1754,0,0,1,4.388,1.1205,0.5854,0.54446,0.151667,0.32,,0.0426,0.6329,5.6961,2.88,1.97781,1.365,0.144234,0.0729262,0.07130810618400574,0.278357,1.4405,0.298946,0.696241,0.442,,4.96015,-0.0000999029,-0.000679999,999,,,,"17489"
"Matthew Kent",,0.0515,0.0693,0.0686,4.77918,0.1944,0.1714,0,0,1,4.38,1.1402,0.5735,0.53102,0.143444,0.2961,,0.0462,0.5489,4.9401,2.6649,1.85377,1.291,0.12532,0.0676027,0.057716891169548035,0.282388,1.4363,0.297952,0.698353,0.459,,4.96036,-0.0000999029,-0.000679999,999,,,,"sa875610"
"Ben Anderson","TEX",0.0516,0.069,0.0655,4.88691,0.2043,0.1693,0,0,1,4.382,1.0939,0.5832,0.54299,0.155222,0.3406,,0.041,0.6844,6.1596,3.0654,2.0094,1.397,0.156184,0.0777271,0.0784573182463646,0.273448,1.4345,0.296977,0.699398,0.437067,,4.96037,-0.0000999029,-0.000679999,999,,,,"sa3010560"
"Michael Pineda",,0.0498,0.0716,0.0659,5.01219,0.1754,0.1754,0,0,1,4.337,1.1359,0.5939,0.55691,0.175222,0.2403,,0.0345,0.654,5.886,2.1627,2.7216,1.577,0.150795,0.055407,0.0953885093331337,0.279627,1.3762,0.29715,0.691757,0.390993,,4.96077,-0.0000999029,-0.000679999,999,,,,"5372"
"Garrett Burhenn","DET",0.0483,0.073,0.0679,4.87584,0.182,0.174,0,0,1,4.387,1.079,0.5803,0.54176,0.153667,0.338,,0.0423,0.6712,6.0408,3.042,1.9858,1.383,0.152997,0.0770458,0.07595166563987732,0.269299,1.417,0.290818,0.696167,0.400241,,4.96265,-0.0000999029,-0.000679999,999,,,,"sa3018173"
"Adrian Sampson",,0.0497,0.0704,0.0628,4.95459,0.22,0.166,0,0,1,4.384,1.1122,0.5895,0.55051,0.158,0.3011,,0.0565,0.6652,5.9868,2.7099,2.20923,1.422,0.151734,0.0686816,0.08305200934410095,0.276227,1.4133,0.29789,0.691049,0.418007,,4.96288,-0.0000999029,-0.000679999,999,,,,"13339"
"Jarlin Susana","WSN",0.0491,0.0724,0.0712,4.73661,0.1754,0.1754,0,0,1,4.476,1.0173,0.5705,0.52629,0.118111,0.5425,,0.0501,0.7584,6.8256,4.8825,1.39797,1.063,0.169437,0.121202,0.048235028982162476,0.261961,1.5598,0.299043,0.709458,0.496003,,4.96292,-0.0000999029,-0.000679999,999,,,,"sa3018808"
"Rio Gomez",,0.0501,0.0664,0.0535,4.80663,0.3461,0.1391,0,0,1,4.398,1.0212,0.5692,0.53407,0.159333,0.4043,,0.0489,0.8159,7.3431,3.6387,2.01806,1.434,0.185516,0.0919282,0.09358800947666168,0.258872,1.4255,0.290233,0.712139,0.361004,,4.96561,-0.0000999029,-0.000679999,999,,,,"sa3004676"
"Blair Henley","HOU",0.0523,0.069,0.0671,4.94829,0.1754,0.1754,0,0,1,4.458,1.0731,0.5931,0.54981,0.131556,0.4405,,0.0691,0.7192,6.4728,3.9645,1.63269,1.184,0.161328,0.0988111,0.06251682341098785,0.271781,1.5136,0.303955,0.692406,0.486811,,4.9671,-0.0000999029,-0.000679999,999,,,,"26190"
"Nick Bennett",,0.049,0.0636,0.042,4.7349,0.4846,0.1096,0,0,1,4.403,1.0785,0.5662,0.5261,0.143444,0.3638,,0.0556,0.6607,5.9463,3.2742,1.81611,1.291,0.150057,0.0826255,0.06743130832910538,0.270735,1.4423,0.294093,0.705691,0.431013,,4.96806,-0.0000999029,-0.000679999,999,,,,"sa3011410"
"Noah Bremer",,0.0489,0.0691,0.0557,4.96872,0.2983,0.1493,0,0,1,4.408,1.0922,0.5917,0.55208,0.152444,0.3644,,0.0454,0.7045,6.3405,3.2796,1.93332,1.372,0.159823,0.0826679,0.07715518027544022,0.273173,1.4566,0.299166,0.695717,0.426004,,4.96866,-0.0000999029,-0.000679999,999,,,,"sa915571"
"Tate Kuehner","MIL",0.0519,0.0685,0.0676,4.75398,0.2084,0.1684,0,0,1,4.447,1.017,0.5673,0.52822,0.144667,0.4717,,0.0484,0.8193,7.3737,4.2453,1.73691,1.302,0.184237,0.106072,0.07816504687070847,0.258983,1.4887,0.294415,0.716392,0.416543,,4.96885,-0.0000999029,-0.000679999,999,,,,"sa3023099"
"Carlos Martinez",,0.0506,0.0708,0.0674,4.93146,0.1754,0.1754,0,0,1,4.421,1.1109,0.5894,0.54794,0.142444,0.3563,,0.0595,0.6473,5.8257,3.2067,1.81673,1.282,0.146415,0.0805926,0.06582222133874893,0.277364,1.4672,0.301188,0.692393,0.45126,,4.97106,-0.0000999029,-0.000679999,999,,,,"11682"
"Jake Lee",,0.0485,0.0671,0.0484,4.9347,0.3832,0.1312,0,0,1,4.351,1.0967,0.5852,0.5483,0.167556,0.2962,,0.0386,0.689,6.201,2.6658,2.32613,1.508,0.158354,0.0680763,0.09027811139822006,0.273069,1.3929,0.294066,0.697302,0.389998,,4.9711,-0.0000999029,-0.000679999,999,,,,"sa3006766"
"Harol González",,0.0504,0.0702,0.0675,4.78692,0.2043,0.1693,0,0,1,4.364,1.0657,0.5707,0.53188,0.159333,0.3328,,0.0422,0.6955,6.2595,2.9952,2.08984,1.434,0.159372,0.0762603,0.08311183750629425,0.26716,1.3985,0.289189,0.704251,0.415113,,4.97181,-0.0000999029,-0.000679999,999,,,,"sa828505"
"Miller Hogan",,0.0488,0.0687,0.0541,4.97646,0.3156,0.1456,0,0,1,4.391,1.0738,0.59,0.55294,0.161444,0.356,,0.0459,0.7488,6.7392,3.204,2.10337,1.453,0.170531,0.0810749,0.08945570141077042,0.269184,1.4298,0.296329,0.697637,0.392999,,4.97336,-0.0000999029,-0.000679999,999,,,,"sa3007806"
"John Swanda",,0.049,0.0688,0.056,4.90896,0.3041,0.1481,0,0,1,4.44,1.1034,0.5885,0.54544,0.135444,0.3837,,0.0642,0.6482,5.8338,3.4533,1.68934,1.219,0.145991,0.0864189,0.05957206338644028,0.276396,1.4871,0.301689,0.692574,0.476993,,4.97456,-0.0000999029,-0.000679999,999,,,,"sa3004944"
"Jean Cabrera","PHI",0.0542,0.0667,0.0701,4.74489,0.1845,0.1735,0,0,1,4.371,1.0589,0.5689,0.52721,0.145667,0.3728,,0.0512,0.6784,6.1056,3.3552,1.81974,1.311,0.155205,0.0852894,0.06991534680128098,0.26828,1.4317,0.292428,0.702739,0.463178,,4.97535,-0.0000999029,-0.000679999,999,,,,"sa3015433"
"Jaden Hamm","DET",0.0487,0.0727,0.0683,4.84884,0.1829,0.1739,0,0,1,4.408,1.0313,0.5762,0.53876,0.151889,0.4037,,0.0436,0.7537,6.7833,3.6333,1.86698,1.367,0.170985,0.0915835,0.07940109819173813,0.260383,1.435,0.287849,0.702578,0.383815,,4.97554,-0.0000999029,-0.000679999,999,,,,"sa3023134"
"Tyler Schweitzer","CHW",0.0465,0.0751,0.0719,4.69944,0.1754,0.1754,0,0,1,4.382,1.0463,0.561,0.52216,0.153778,0.3898,,0.0404,0.7403,6.6627,3.5082,1.89918,1.384,0.168941,0.0889548,0.07998630404472351,0.264765,1.4361,0.291891,0.716819,0.418169,,4.97559,-0.0000999029,-0.000679999,999,,,,"sa3020712"
